Stop No,NaPTAN,Latitude,Longitude,,
00101,891085000101,54.14761003,-4.48579205,,
00102,891085000102,54.14829532,-4.47701803,,
00104,891085000104,54.14829532,-4.47701803,,
00108,891085000108,54.14988836,-4.47717415,,
00109,891085000109,54.14820652,-4.48205335,,
00110,891085000110,54.14800016,-4.48417791,,
00111,891085000111,54.14952541,-4.48993874,,
00112,891085000112,54.15012248,-4.49418845,,
00113,891085000113,54.15167871,-4.49911023,,
00114,891085000114,54.15475762,-4.50115339,,
00115,891085000115,54.149222,-4.477004,,
00117,891085000117,54.15274684,-4.47837338,,
00118,891085000118,54.15499342,-4.47840031,,
00119,891085000119,54.15842245,-4.47610654,,
00120,891085000120,54.16026905,-4.47441984,,
00121,891085000121,54.16275925,-4.47095728,,
00122,891085000122,54.16474855,-4.46769522,,
00123,891085000123,54.16611469,-4.46522262,,
00124,891085000124,54.16701181,-4.46085758,,
00125,891085000125,54.15859503,-4.47979895,,
00126,891085000126,54.16102294,-4.48212098,,
00127,891085000127,54.16453583,-4.4837227,,
00128,891085000128,54.14863819,-4.48058054,,
00129,891085000129,54.15025876,-4.48107583,,
00130,891085000130,54.15188888,-4.4834448,,
00131,891085000131,54.15430445,-4.48481923,,
00132,891085000132,54.15673189,-4.48586216,,
00133,891085000133,54.15788381,-4.48666158,,
00134,891085000134,54.16058351,-4.48530728,,
00135,891085000135,54.16267873,-4.48353314,,
00136,891085000136,54.1510257,-4.48714484,,
00137,891085000137,54.15179136,-4.48957705,,
00138,891085000138,54.15520135,-4.48803786,,
00139,891085000139,54.15610012,-4.48931884,,
00140,891085000140,54.15577662,-4.49213227,,
00141,891085000141,54.15530003,-4.49391405,,
00142,891085000142,54.15509004,-4.4961211,,
00143,891085000143,54.15495303,-4.49956613,,
00144,891085000144,54.15587286,-4.49654763,,
00145,891085000145,54.15648235,-4.49411567,,
00148,891085000148,54.15053793,-4.48377724,,
00149,891085000149,54.15868006,-4.48879334,,
00150,891085000150,54.15375043,-4.48724732,,
00151,891085000151,54.1586366,-4.47896324,,
00152,891085000152,54.16033607,-4.47749979,,
00153,891085000153,54.1605555,-4.4824375,,
00154,891085000154,54.16160644,-4.481041,,
00155,891085000155,54.1626766,-4.4791687,,
00156,891085000156,54.16300007,-4.47605737,,
00157,891085000157,54.16401947,-4.47425385,,
00158,891085000158,54.16452187,-4.47364761,,
00159,891085000159,54.16682222,-4.47067848,,
00160,891085000160,54.16655643,-4.48114044,,
00161,891085000161,54.16859417,-4.47676483,,
00162,891085000162,54.16920343,-4.47505044,,
00163,891085000163,54.17012518,-4.47252466,,
00164,891085000164,54.17061024,-4.47133948,,
00165,891085000165,54.14688939,-4.48438962,,
00166,891085000166,54.17069916,-4.46897675,,
00167,891085000167,54.14949623,-4.48599135,,
00168,891085000168,54.15321081,-4.48878928,,
00169,891085000169,54.15001925,-4.50148202,,
00203,891085000203,54.15021863,-4.50294054,,
00204,891085000204,54.15035066,-4.50281267,,
00205,891085000205,54.1520894,-4.50522553,,
00206,891085000206,54.15209348,-4.50473537,,
00207,891085000207,54.15309935,-4.50795812,,
00208,891085000208,54.15287483,-4.50721749,,
00209,891085000209,54.15197455,-4.51124282,,
00210,891085000210,54.15280364,-4.51009013,,
00211,891085000211,54.15113409,-4.51027193,,
00213,891085000213,54.15114,-4.51005,,
00301,891085000301,54.14126103,-4.53939678,,
00302,891085000302,54.14127749,-4.54164125,,
00303,891085000303,54.13995207,-4.54741609,,
00304,891085000304,54.137643,-4.55617295,,
00305,891085000305,54.13732466,-4.55688347,,
00306,891085000306,54.13509279,-4.56233031,,
00307,891085000307,54.13518406,-4.56186472,,
00308,891085000308,54.13118517,-4.56612859,,
00309,891085000309,54.13081356,-4.56616439,,
00310,891085000310,54.123844,-4.57387916,,
00311,891085000311,54.12378698,-4.57364498,,
00312,891085000312,54.12121021,-4.5795382,,
00313,891085000313,54.12109367,-4.57949759,,
00314,891085000314,54.11789211,-4.58860308,,
00315,891085000315,54.11894757,-4.5857894,,
00401,891085000401,54.10110517,-4.62004756,,
00402,891085000402,54.1008967,-4.62095468,,
00403,891085000403,54.09944316,-4.62473403,,
00404,891085000404,54.09950921,-4.6247974,,
00405,891085000405,54.09791207,-4.62913979,,
00406,891085000406,54.0983187,-4.62835422,,
00407,891085000407,54.09671252,-4.6298577,,
00408,891085000408,54.0959631,-4.62974174,,
00409,891085000409,54.09418783,-4.63000224,,
00410,891085000410,54.09450765,-4.62987352,,
00411,891085000411,54.09829775,-4.63216085,,
00412,891085000412,54.09841839,-4.63217355,,
00413,891085000413,54.09509535,-4.64634451,,
00414,891085000414,54.09517619,-4.64649053,,
00415,891085000415,54.10503172,-4.64205443,,
00416,891085000416,54.10505054,-4.64219193,,
00417,891085000417,54.09626,-4.62523,,
00418,891085000418,54.0964,-4.62491,,
00501,891085000501,54.08896523,-4.63247221,,
00502,891085000502,54.08896523,-4.63247221,,
00503,891085000503,54.08672531,-4.63478189,,
00504,891085000504,54.08672531,-4.63478189,,
00601,891085000601,54.08230039,-4.64040601,,
00602,891085000602,54.08233661,-4.64050479,,
00603,891085000603,54.08067112,-4.64217932,,
00604,891085000604,54.08112248,-4.6418458,,
00605,891085000605,54.07921218,-4.64377696,,
00606,891085000606,54.07909854,-4.64410426,,
00607,891085000607,54.07805477,-4.64608947,,
00608,891085000608,54.07816577,-4.64606198,,
00609,891085000609,54.07778849,-4.64914188,,
00610,891085000610,54.07791869,-4.64906394,,
00611,891085000611,54.07692676,-4.65082648,,
00612,891085000612,54.07681843,-4.6510706,,
00613,891085000613,54.07527203,-4.65235219,,
00614,891085000614,54.07527587,-4.65247153,,
00615,891085000615,54.07315099,-4.65309805,,
00616,891085000616,54.07296383,-4.65323944,,
00617,891085000617,54.0738728,-4.65812946,,
00618,891085000618,54.07379617,-4.65662197,,
00619,891085000619,54.07548251,-4.6609998,,
00620,891085000620,54.0750419,-4.65957307,,
00621,891085000621,54.07693812,-4.663056,,
00622,891085000622,54.0777661,-4.66328944,,
00623,891085000623,54.07809438,-4.66416803,,
00701,891085000701,54.0837282,-4.67455313,,
00702,891085000702,54.08364127,-4.6744194,,
00703,891085000703,54.09260393,-4.67513814,,
00704,891085000704,54.09209182,-4.67527586,,
00705,891085000705,54.0976938,-4.6768433,,
00706,891085000706,54.09693193,-4.67578545,,
00707,891085000707,54.09916524,-4.67807634,,
00708,891085000708,54.09909077,-4.67790787,,
00709,891085000709,54.10056979,-4.6802285,,
00710,891085000710,54.1006649,-4.68043074,,
00711,891085000711,54.09943491,-4.68307895,,
00712,891085000712,54.09944576,-4.68331828,,
00801,891085000801,54.08826584,-4.74848311,,
00802,891085000802,54.08675783,-4.750068,,
00803,891085000803,54.085017,-4.74948871,,
00804,891085000804,54.08516779,-4.75369169,,
00805,891085000805,54.0862883,-4.75593237,,
00806,891085000806,54.0875366,-4.75106172,,
00807,891085000807,54.08507298,-4.74893197,,
00808,891085000808,54.08461489,-4.74613602,,
00809,891085000809,54.08349158,-4.74409366,,
00810,891085000810,54.0834945,-4.74417857,,
00811,891085000811,54.08452011,-4.74619581,,
00812,891085000812,54.08775344,-4.75595207,,
00813,891085000813,54.08858391,-4.74778032,,
00818,891085000818,54.087415,-4.75729,,
00901,891085000901,54.08121198,-4.74294793,,
00902,891085000902,54.08087796,-4.74277497,,
00903,891085000903,54.07815668,-4.73999122,,
00904,891085000904,54.0781126,-4.74016949,,
00905,891085000905,54.07555346,-4.7375943,,
00906,891085000906,54.07548289,-4.73777174,,
00907,891085000907,54.07281225,-4.73939156,,
00908,891085000908,54.07172868,-4.73876113,,
00909,891085000909,54.07160953,-4.73764117,,
00910,891085000910,54.07377111,-4.7386457,,
00911,891085000911,54.078425,-4.741140,,
00912,891085000912,54.079044,-4.74010016,,
00913,891085000913,54.07887872,-4.74029093,,
01001,891085001001,54.07475935,-4.75368679,,
01002,891085001002,54.07461132,-4.75615195,,
01003,891085001003,54.06973604,-4.76813303,,
01004,891085001004,54.07086448,-4.76592629,,
01005,891085001005,54.06366316,-4.79241912,,
01006,891085001006,54.06984251,-4.76834679,,
01101,891085001101,54.14779202,-4.52437752,,
01102,891085001102,54.14739806,-4.52330178,,
01103,891085001103,54.15154121,-4.53281963,,
01104,891085001104,54.15288887,-4.53587004,,
01105,891085001105,54.15392168,-4.53558308,,
01106,891085001106,54.15067041,-4.53043057,,
01108,891085001108,54.15078492,-4.52640002,,
01109,891085001109,54.15108854,-4.52901048,,
01110,891085001110,54.1542435,-4.53395334,,
01111,891085001111,54.1534114,-4.53317553,,
01112,891085001112,54.15157464,-4.5321506,,
01113,891085001113,54.15681398,-4.53019602,,
01114,891085001114,54.15698196,-4.52990906,,
01201,891085001201,54.15408803,-4.53955131,,
01202,891085001202,54.15414848,-4.53948991,,
01301,891085001301,54.15449091,-4.57411017,,
01302,891085001302,54.15457597,-4.57411775,,
01303,891085001303,54.16505783,-4.59586388,,
01304,891085001304,54.16546601,-4.59659603,,
01401,891085001401,54.16730557,-4.60973138,,
01402,891085001402,54.16735602,-4.60994232,,
01405,891085001405,54.16026,-4.5882,,
01406,891085001406,54.16041,-4.588085,,
01501,891085001501,54.16924412,-4.63527633,,
01502,891085001502,54.16939569,-4.63511252,,
01503,891085001503,54.17071286,-4.63953109,,
01504,891085001504,54.17112174,-4.63960065,,
01505,891085001505,54.16981848,-4.6181562,,
01506,891085001506,54.16989947,-4.61829418,,
01507,891085001507,54.16925242,-4.63274018,,
01508,891085001508,54.16935341,-4.63215026,,
01601,891085001601,54.1561917,-4.50729968,,
01602,891085001602,54.15639744,-4.50847117,,
01603,891085001603,54.15648417,-4.50845084,,
01604,891085001604,54.15713131,-4.51311758,,
01605,891085001605,54.15724357,-4.51317508,,
01606,891085001606,54.15796103,-4.51518279,,
01607,891085001607,54.15809135,-4.51505559,,
01608,891085001608,54.159511,-4.51332,,
01609,891085001609,54.1596,-4.512428,,
01610,891085001610,54.15866433,-4.51769443,,
01701,891085001701,54.16140485,-4.50648751,,
01702,891085001702,54.160436,-4.50412821,,
01703,891085001703,54.16463543,-4.50616735,,
01704,891085001704,54.1651836,-4.50639384,,
01705,891085001706,54.16239257,-4.50736484,,
01711,891085001711,54.16147153,-4.50739093,,
01712,891085001712,54.16128999,-4.50742728,,
01801,891085001801,54.17248773,-4.50603454,,
01802,891085001802,54.17150987,-4.51647171,,
01803,891085001803,54.17146442,-4.50770015,,
01804,891085001804,54.17268462,-4.51143657,,
01805,891085001805,54.17099083,-4.51011208,,
01807,891085001807,54.17279691,-4.51171643,,
01808,891085001808,54.17146442,-4.50770015,,
01809,891085001809,54.17165197,-4.5153112,,
01810,891085001810,54.17248773,-4.50603454,,
01811,891085001811,54.17574762,-4.50829607,,
01812,891085001812,54.17390874,-4.50860523,,
01813,891085001813,54.17385506,-4.51361285,,
01813,891085001813,54.17955341,-4.52068637,,
01901,891085001901,54.16975207,-4.52378487,,
01902,891085001902,54.16984413,-4.52337295,,
01903,891085001903,54.17036823,-4.52744966,,
01904,891085001904,54.17055062,-4.52816562,,
01905,891085001905,54.16728934,-4.51779506,,
01906,891085001906,54.17122601,-4.51784118,,
01907,891085001907,54.16872843,-4.52205767,,
01908,891085001908,54.1681574,-4.51923133,,
01909,891085001909,54.17157803,-4.53658352,,
01910,891085001910,54.17195898,-4.53658353,,
02001,891085002001,54.17244248,-4.54234304,,
02002,891085002002,54.17317134,-4.54536554,,
02003,891085002003,54.17455692,-4.55067731,,
02004,891085002004,54.174571,-4.55047973,,
02005,891085002005,54.17666959,-4.55392086,,
02006,891085002006,54.17606793,-4.55285474,,
02007,891085002007,54.17802588,-4.55586233,,
02008,891085002008,54.1779982,-4.55567595,,
02009,891085002009,54.17520993,-4.54947349,,
02010,891085002010,54.17694355,-4.54798821,,
02011,891085002011,54.17520993,-4.54947349,,
02012,891085002012,54.17694355,-4.54798821,,
02101,891085002101,54.18237723,-4.56290414,,
02102,891085002102,54.18249528,-4.56290332,,
02103,891085002103,54.18332134,-4.56506221,,
02104,891085002104,54.1839493,-4.56609998,,
02106,891085002106,54.1847858,-4.56817123,,
02107,891085002107,54.18624706,-4.57199824,,
02108,891085002108,54.18629529,-4.5718826,,
02201,891085002201,54.19031427,-4.58214115,,
02202,891085002202,54.19032146,-4.58173888,,
02203,891085002203,54.19341134,-4.5944539,,
02204,891085002204,54.19324676,-4.59284993,,
02205,891085002205,54.19605287,-4.60437938,,
02206,891085002206,54.1954237,-4.60287607,,
02207,891085002207,54.19694084,-4.60799207,,
02208,891085002208,54.19718001,-4.60961721,,
02209,891085002209,54.1977193,-4.61553164,,
02210,891085002210,54.19762869,-4.61542733,,
02301,891085002301,54.20226927,-4.62934208,,
02302,891085002302,54.20229324,-4.62781183,,
02303,891085002303,54.19553279,-4.63585594,,
02304,891085002304,54.20229115,-4.62948501,,
02305,891085002305,54.19656054,-4.63765073,,
02306,891085002306,54.19549353,-4.63607254,,
02307,891085002307,54.19936949,-4.6412008,,
02308,891085002308,54.19566815,-4.63692922,,
02309,891085002309,54.20144078,-4.64221593,,
02310,891085002310,54.1993307,-4.64095667,,
02311,891085002311,54.20306136,-4.63108506,,
02312,891085002312,54.20146805,-4.64206693,,
02313,891085002313,54.20325482,-4.63757836,,
02314,891085002314,54.20334758,-4.6374892,,
02315,891085002315,54.20312788,-4.64147071,,
02316,891085002316,54.20340262,-4.64338795,,
02317,891085002317,54.20332472,-4.64391433,,
02318,891085002318,54.20325122,-4.63198242,,
02319,891085002319,54.19111205,-4.63816535,,
02320,891085002320,54.19111904,-4.63829763,,
02321,891085002321,54.193663,-4.63699714,,
02323,891085002323,54.200594,-4.643232,,
02324,891085002324,54.2008,-4.64384,,
02401,891085002401,54.21065009,-4.67308355,,
02402,891085002402,54.21047493,-4.67238816,,
02403,891085002403,54.21727483,-4.68593717,,
02404,891085002404,54.2168466,-4.68500675,,
02405,891085002405,54.21914896,-4.68913951,,
02406,891085002406,54.21916189,-4.68897927,,
02407,891085002407,54.21995477,-4.69158239,,
02408,891085002408,54.22007219,-4.69060803,,
02409,891085002409,54.22106932,-4.69484632,,
02410,891085002410,54.22173556,-4.68956621,,
02411,891085002411,54.22210242,-4.69735135,,
02412,891085002412,54.22243123,-4.69091861,,
02413,891085002413,54.22445361,-4.69643822,,
02414,891085002414,54.22243123,-4.69091861,,
02415,891085002415,54.22402744,-4.69233936,,
02416,891085002416,54.22331107,-4.68895141,,
02417,891085002417,54.22455459,-4.68967699,,
02418,891085002418,54.22426144,-4.68544905,,
02419,891085002419,54.22421933,-4.68524487,,
02420,891085002420,54.22149271,-4.68041248,,
02421,891085002421,54.22488838,-4.68299405,,
02422,891085002422,54.22484969,-4.682822,,
02423,891085002423,54.22601876,-4.67900625,,
02424,891085002424,54.22592039,-4.67903533,,
02425,891085002425,54.22679817,-4.67662229,,
02426,891085002426,54.22651508,-4.67721634,,
02427,891085002427,54.22059091,-4.69063702,,
02428,891085002428,54.22352721,-4.67856546,,
02429,891085002429,54.22266557,-4.67631738,,
02430,891085002430,54.2210112,-4.67750578,,
02431,891085002431,54.22170229,-4.68711716,,
02432,891085002432,54.22158662,-4.68689378,,
02433,891085002433,54.22084338,-4.68291803,,
02434,891085002434,54.22679817,-4.67662229,,
02435,891085002435,54.2177732,-4.6970273,,
02436,891085002436,54.21773567,-4.69717734,,
02437,891085002437,54.226666,-4.675921,,
02438,891085002438,54.21921,-4.69502,,
02440,891085002440,54.22139587,-4.68038856,,
02441,891085002441,54.21992097,-4.67824905,,
02442,891085002442,54.21994977,-4.67804135,,
02444,891085002444,54.22094862,-4.68307689,,
02447,891085002447,,,,
02501,891085002501,54.23868405,-4.64733088,,
02502,891085002502,54.23874945,-4.6468341,,
02503,891085002503,54.24868298,-4.63863904,,
02504,891085002504,54.24854913,-4.63858121,,
02505,891085002505,54.26284943,-4.6180426,,
02506,891085002506,54.26282245,-4.61795243,,
02507,891085002507,54.23296475,-4.66099694,,
02508,891085002508,54.23294676,-4.66082496,,
02601,891085002601,54.27932034,-4.59026325,,
02602,891085002602,54.27923223,-4.59019289,,
02603,891085002603,54.28372277,-4.58723861,,
02604,891085002604,54.28171982,-4.58784975,,
02605,891085002605,54.28676688,-4.58337305,,
02606,891085002606,54.28364792,-4.58711531,,
02607,891085002607,54.283697,-4.58789,,
02608,891085002608,54.28675042,-4.5831635,,
02609,891085002609,54.28989524,-4.57990804,,
02610,891085002610,54.28993631,-4.57975325,,
02701,891085002701,54.30794066,-4.5497549,,
02702,891085002702,54.30814089,-4.54874617,,
02703,891085002703,54.31001132,-4.54077403,,
02704,891085002704,54.30989735,-4.54070935,,
02801,891085002801,54.31613316,-4.51249206,,
02802,891085002802,54.31613316,-4.51249206,,
02901,891085002901,54.31938585,-4.4923344,,
02902,891085002902,54.31933393,-4.49220225,,
02903,891085002903,54.32221279,-4.4804285,,
02904,891085002904,54.32219326,-4.48004933,,
02905,891085002905,54.32177344,-4.47174227,,
02906,891085002906,54.32149456,-4.47156762,,
02908,891085002908,54.32331209,-4.47391382,,
03001,891085003001,54.321583,-4.460295,,
03002,891085003002,54.32107,-4.46266,,
03003,891085003003,54.320047,-4.446198,,
03004,891085003004,54.319617,-4.44468,,
03005,891085003005,54.3185931,-4.4345506,,
03006,891085003006,54.31854,-4.434753,,
03007,891085003007,54.31917937,-4.42512831,,
03008,891085003008,54.31909838,-4.42365658,,
03101,891085003101,54.16715877,-4.48591757,,
03102,891085003102,54.16850003,-4.48591528,,
03103,891085003103,54.17078764,-4.48520011,,
03104,891085003104,54.17201541,-4.4847287,,
03105,891085003105,54.17327659,-4.48405885,,
03106,891085003106,54.1752672,-4.4813088,,
03107,891085003107,54.17504472,-4.48053986,,
03108,891085003108,54.17373621,-4.48110373,,
03109,891085003109,54.17260821,-4.48234844,,
03110,891085003110,54.17095217,-4.48149799,,
03111,891085003111,54.16965086,-4.48124985,,
03112,891085003112,54.16892383,-4.48229737,,
03113,891085003113,54.16803235,-4.484527,,
03114,891085003114,54.16844452,-4.48575598,,
03115,891085003115,54.16652854,-4.48508278,,
03116,891085003116,54.16863298,-4.48740485,,
03117,891085003117,54.16899351,-4.48753374,,
03118,891085003118,54.16980362,-4.48852866,,
03119,891085003119,54.17048408,-4.4888896,,
03120,891085003120,54.17178835,-4.48719217,,
03121,891085003121,54.17116448,-4.48818288,,
03122,891085003122,54.17510395,-4.48289208,,
03123,891085003123,54.17428505,-4.48385114,,
03124,891085003124,54.17677542,-4.48034143,,
03125,891085003125,54.17683214,-4.47996172,,
03201,891085003201,54.17226139,-4.46468215,,
03202,891085003202,54.17218664,-4.46463143,,
03203,891085003203,54.17279325,-4.46112452,,
03204,891085003204,54.17275527,-4.46097731,,
03205,891085003205,54.17315899,-4.45911163,,
03206,891085003206,54.17316151,-4.45850805,,
03207,891085003207,54.1742403,-4.45567883,,
03208,891085003208,54.17422741,-4.45532777,,
03209,891085003209,54.17671058,-4.45109124,,
03210,891085003210,54.17554608,-4.45296083,,
03211,891085003211,54.16766944,-4.45161875,,
03212,891085003212,54.16735932,-4.45193547,,
03213,891085003213,54.16911931,-4.45142538,,
03214,891085003214,54.16916436,-4.45127452,,
03215,891085003215,54.16925946,-4.45288648,,
03216,891085003216,54.16946965,-4.45232558,,
03217,891085003217,54.17075199,-4.45337935,,
03218,891085003218,54.17078383,-4.4531799,,
03219,891085003219,54.17273623,-4.45392192,,
03220,891085003220,54.17328795,-4.45389055,,
03221,891085003221,54.17407806,-4.45428366,,
03222,891085003222,54.16977782,-4.46050168,,
03223,891085003223,54.16988476,-4.46052105,,
03224,891085003224,54.17198352,-4.45821076,,
03225,891085003225,54.17193656,-4.45838893,,
03226,891085003226,54.16766944,-4.45161875,,
03227,891085003227,54.16735932,-4.45193547,,
03301,891085003301,54.18373275,-4.44249268,,
03302,891085003302,54.18504666,-4.44074344,,
03303,891085003303,54.18694258,-4.43888092,,
03304,891085003304,54.18667478,-4.43898716,,
03305,891085003305,54.19157076,-4.43058766,,
03306,891085003306,54.19052029,-4.4322406,,
03307,891085003307,54.19379797,-4.42532184,,
03308,891085003308,54.19400848,-4.42405528,,
03309,891085003309,54.1976453,-4.41750081,,
03310,891085003310,54.19743553,-4.41735502,,
03311,891085003311,54.20167369,-4.41263647,,
03312,891085003312,54.20029093,-4.41397586,,
03313,891085003313,54.20502431,-4.41032089,,
03314,891085003314,54.2046652,-4.41015306,,
03315,891085003315,54.20741803,-4.40704215,,
03316,891085003316,54.20718057,-4.40678741,,
03317,891085003317,54.2127955,-4.40682588,,
03318,891085003318,54.21190457,-4.40674276,,
03319,891085003319,54.21601064,-4.40440075,,
03320,891085003320,54.21597609,-4.40419458,,
03322,891085003322,54.19373391,-4.42523499,,
03401,891085003401,54.21855125,-4.40103103,,
03402,891085003402,54.21868686,-4.40076738,,
03403,891085003403,54.22106904,-4.40011777,,
03404,891085003404,54.22114062,-4.39954787,,
03405,891085003405,54.22463432,-4.39569677,,
03406,891085003406,54.22466995,-4.39555953,,
03407,891085003407,54.22596765,-4.39716252,,
03408,891085003408,54.22603949,-4.39706251,,
03409,891085003409,54.22901574,-4.40339524,,
03410,891085003410,54.22919033,-4.40336749,,
03411,891085003411,54.23123632,-4.40654857,,
03412,891085003412,54.2302906,-4.40467862,,
03413,891085003413,54.23329778,-4.40615113,,
03414,891085003414,54.23204315,-4.40611156,,
03415,891085003415,54.231765,-4.40209548,,
03416,891085003416,54.23388624,-4.40536348,,
03418,891085003418,54.23198604,-4.40264232,,
03431,891085003431,54.23387422,-4.40756933,,
03501,891085003501,54.23065902,-4.39701824,,
03502,891085003502,54.23064112,-4.39637689,,
03503,891085003503,54.22893867,-4.3879012,,
03504,891085003504,54.22873378,-4.38768008,,
03601,891085003601,54.249862,-4.377383,,
03602,891085003602,54.2497943,-4.37713276,,
03603,891085003603,54.258287,-4.371969,,
03604,891085003604,54.259345,-4.371956,,
03605,891085003605,54.242127,-4.378006,,
03606,891085003606,54.242135,-4.377883,,
03607,891085003607,54.242163,-4.373369,,
03608,891085003608,54.242092,-4.373349,,
03701,891085003701,54.27056703,-4.37719075,,
03702,891085003702,54.27150234,-4.37688351,,
03703,891085003703,54.2715097,-4.37705289,,
03705,891085003705,54.27436646,-4.37647702,,
03706,891085003706,54.27435044,-4.37632249,,
03707,891085003707,54.27985398,-4.37596312,,
03708,891085003708,54.27982534,-4.37560091,,
03709,891085003709,54.29333869,-4.3679878,,
03710,891085003710,54.29226171,-4.36873645,,
03711,891085003711,54.26710494,-4.37783763,,
03712,891085003712,54.26709575,-4.37770196,,
03713,891085003713,54.281831,-4.373507,,
03714,891085003714,54.281809,-4.373373,,
03800,891085003800,54.32054172,-4.3848397,,
03801,891085003801,54.32127778,-4.40513296,,
03802,891085003802,54.3211465,-4.40536919,,
03803,891085003803,54.3209375,-4.39807672,,
03804,891085003804,54.32086577,-4.39813083,,
03805,891085003805,54.32076696,-4.39514426,,
03806,891085003806,54.3208173,-4.39232107,,
03807,891085003807,54.32202958,-4.38979144,,
03808,891085003808,54.32197331,-4.38965531,,
03809,891085003809,54.31418165,-4.37362659,,
03810,891085003810,54.31390921,-4.37339197,,
03811,891085003811,54.31603068,-4.3744308,,
03812,891085003812,54.31654311,-4.37450198,,
03813,891085003813,54.31800642,-4.37603628,,
03814,891085003814,54.31880109,-4.37726365,,
03815,891085003815,54.31908579,-4.37797034,,
03816,891085003816,54.320684,-4.38088019,,
03817,891085003817,54.32086912,-4.38187675,,
03818,891085003818,54.32314306,-4.38823187,,
03819,891085003819,54.32325943,-4.38862923,,
03820,891085003820,54.32353295,-4.38789475,,
03821,891085003821,54.32462849,-4.38810371,,
03822,891085003822,54.32454166,-4.38825308,,
03823,891085003823,54.32608106,-4.38944947,,
03824,891085003824,54.32613911,-4.38959587,,
03825,891085003825,54.32880503,-4.39156507,,
03826,891085003826,54.32885426,-4.39170251,,
03827,891085003827,54.3234545,-4.38768905,,
03828,891085003828,54.32822424,-4.3932872,,
03829,891085003829,54.32937408,-4.39969278,,
03830,891085003830,54.32953334,-4.40133029,,
03831,891085003831,54.33498635,-4.39156944,,
03832,891085003832,54.33501242,-4.39165987,,
03833,891085003833,54.33282544,-4.39385148,,
03834,891085003834,54.33192821,-4.39374706,,
03835,891085003835,54.33670389,-4.39532185,,
03836,891085003836,54.33662756,-4.39549894,,
03837,891085003837,54.337354,-4.38671,,
03838,891085003838,54.337054,-4.387147,,
03841,891085003841,54.31844543,-4.38266701,,
03842,891085003842,54.3168412,-4.38238347,,
03843,891085003843,54.31703199,-4.37990769,,
03844,891085003844,54.31803318,-4.37729717,,
03847,891085003847,54.32049635,-4.38477957,,
03860,891085003860,54.32602842,-4.38403001,,
03861,891085003861,54.32428996,-4.38166212,,
03863,891085003863,54.335674,-4.383997,,
03869,891085003869,54.33357742,-4.39581245,,
03870,891085003870,54.33314865,-4.39819194,,
03871,891085003871,54.33159558,-4.40009379,,
03872,891085003872,54.3300825,-4.40046741,,
03876,891085003876,54.3296103,-4.39545383,,
03880,891085003880,54.32777059,-4.38242649,,
03885,891085003885,54.3218734,-4.37769703,,
03886,891085003886,54.32162225,-4.37768746,,
03887,891085003887,54.32015548,-4.37646278,,
03888,891085003888,54.31898934,-4.3756653,,
03889,891085003889,54.31833439,-4.37608917,,
03890,891085003890,54.31855434,-4.38081501,,
03891,891085003891,54.32119927,-4.40104697,,
03892,891085003892,54.32108942,-4.40106917,,
03893,891085003893,54.31849458,-4.38093703,,
03895,891085003895,54.33655718,-4.38802287,,
03896,891085003896,54.31701123,-4.38381545,,
03901,891085003901,54.300422,-4.364182,,
03902,891085003902,54.298593,-4.363841,,
03903,891085003903,54.31127351,-4.36630623,,
03906,891085003906,54.31001623,-4.36423905,,
03912,891085003912,54.306759,-4.357921,,
04007,891085004007,54.41243544,-4.36797276,,
04109,891085004109,54.37410747,-4.43746373,,
